,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income
77,0,19.17,0.585,2,2,0,7,0.585,1,0,0,1,0,23,0
47,1,31.92,4.46,1,0,2,3,6.04,1,1,3,0,0,83,300
224,0,37.75,5.5,1,0,10,7,0.125,1,0,0,1,0,55,0
254,1,31.56817109144546,0.625,1,0,8,7,0.25,0,0,0,0,0,103,2010
6,1,33.17,1.04,1,0,11,3,6.5,1,0,0,1,0,25,31285
473,1,19.17,4.0,2,2,6,7,1.0,0,0,0,1,0,96,1000
82,1,39.83,0.5,1,0,9,7,0.25,1,0,0,0,2,75,0
112,1,24.58,12.5,1,0,12,7,0.875,1,0,0,1,0,67,0
522,1,22.83,3.0,1,0,9,7,1.29,1,1,1,0,0,67,800
650,1,48.08,3.75,1,0,6,0,1.0,0,0,0,0,0,1,2
610,1,20.0,1.25,2,2,8,7,0.125,0,0,0,0,0,15,4
83,0,31.56817109144546,3.5,1,0,3,7,3.0,1,0,0,1,0,80,0
158,1,28.0,2.0,1,0,8,3,4.165,1,1,2,1,0,35,0
198,1,27.58,2.04,2,2,0,7,2.0,1,1,3,1,0,99,560
268,1,59.67,1.54,1,0,10,7,0.125,1,0,0,1,0,67,0
504,0,28.75,3.75,1,0,1,7,1.085,1,1,1,1,0,100,0
174,1,22.67,10.5,1,0,10,3,1.335,1,0,0,0,0,1,0
422,1,29.42,1.25,1,0,12,7,1.75,0,0,0,0,0,40,0
626,1,22.0,7.835,2,2,6,0,0.165,0,0,0,1,0,0,0
489,1,45.33,1.0,1,0,10,7,0.125,0,0,0,1,0,68,0
221,1,65.42,11.0,1,0,4,8,20.0,1,1,7,1,0,50,0
333,0,25.25,12.5,1,0,3,7,1.0,0,0,0,1,0,34,1062
40,1,34.17,9.17,1,0,1,7,4.5,1,1,12,1,0,0,221
14,0,45.83,10.5,1,0,10,7,5.0,1,1,7,1,0,0,0
58,1,35.17,4.5,1,0,13,3,5.75,0,0,0,1,2,153,0
114,1,20.67,1.25,2,2,1,3,1.375,1,1,3,1,0,15,210
81,0,27.67,1.5,1,0,9,7,2.0,1,0,0,0,2,97,0
67,1,25.5,0.375,1,0,9,7,0.25,1,1,3,0,0,67,15108
257,1,20.0,0.0,1,0,3,7,0.5,0,0,0,0,0,17,0
240,1,20.5,10.0,2,2,1,7,2.5,1,0,0,0,2,110,0
661,1,29.83,3.5,1,0,1,7,0.165,0,0,0,0,0,49,0
532,1,43.17,2.25,1,0,6,0,0.75,1,0,0,0,0,145,0
144,1,27.25,1.665,1,0,2,3,5.085,1,1,9,0,0,109,827
387,1,21.17,0.0,1,0,1,7,0.5,0,0,0,1,2,0,0
465,0,27.58,3.0,1,0,9,7,2.79,0,1,1,1,0,74,10
645,1,37.33,2.665,1,0,2,7,0.165,0,0,0,1,0,0,501
410,1,31.25,2.835,1,0,5,2,0.0,0,1,5,0,0,32,146
154,1,32.75,1.5,1,0,2,3,5.5,1,1,3,1,0,0,0
653,1,21.5,11.5,1,0,6,7,0.5,1,0,0,1,0,1,68
563,1,24.42,12.335,1,0,10,3,1.585,1,0,0,1,0,8,0
441,1,39.58,5.0,1,0,5,2,0.0,0,1,2,0,0,28,1
10,1,22.08,0.83,1,0,1,3,2.165,0,0,0,1,0,10,0
383,0,56.83,4.25,2,2,5,2,5.0,0,0,0,1,0,0,4
140,0,31.25,3.75,1,0,2,3,0.625,1,1,9,1,0,35,0
539,1,80.25,5.5,1,0,1,7,0.54,1,0,0,0,0,0,340
434,1,58.58,2.71,1,0,1,7,2.415,0,0,0,1,0,86,0
601,1,42.25,1.75,2,2,1,7,0.0,0,0,0,1,0,19,1
639,1,35.58,0.75,1,0,8,7,1.5,0,0,0,1,0,57,0
349,1,27.83,1.5,1,0,12,7,2.25,0,1,1,1,0,1,3
195,1,28.25,5.04,2,2,1,0,1.5,1,1,8,1,0,17,7
96,1,23.0,0.625,2,2,0,7,0.125,1,0,0,0,0,34,1
286,0,31.56817109144546,1.5,1,0,5,2,0.0,0,1,2,1,0,40,105
397,0,23.58,0.585,2,2,5,2,0.125,0,0,0,0,0,8,87
646,0,20.83,8.5,1,0,1,7,0.165,0,0,0,0,0,0,351
227,0,22.5,8.46,2,2,13,7,2.46,0,0,0,0,0,25,0
348,1,63.33,0.54,1,0,1,7,0.585,1,1,3,1,0,34,0
458,1,36.17,5.5,1,0,6,0,5.0,0,0,0,0,0,46,687
80,1,49.58,19.0,1,0,5,2,0.0,1,1,1,0,0,166,0
484,1,34.67,1.08,1,0,9,7,1.165,0,0,0,0,2,73,0
319,1,36.75,0.125,2,2,1,7,1.5,0,0,0,1,0,58,113
43,1,39.58,13.915,1,0,12,7,8.625,1,1,6,1,0,152,0
391,1,39.92,5.0,1,0,6,0,0.21,0,0,0,0,0,143,0
606,1,16.17,0.04,1,0,1,7,0.04,0,0,0,0,0,0,0
171,1,41.33,0.0,1,0,1,0,15.0,1,0,0,0,0,0,0
314,1,16.25,0.0,2,2,0,7,0.25,0,0,0,0,0,147,0
344,1,38.92,1.75,1,0,8,7,0.5,0,0,0,1,0,80,2
100,1,37.5,1.75,2,2,1,0,0.25,1,0,0,1,0,25,400
519,1,39.17,1.71,1,0,13,7,0.125,1,1,5,1,0,131,0
615,1,29.42,1.25,1,0,1,3,0.25,0,1,2,1,0,111,108
30,1,29.25,14.79,1,0,0,7,5.04,1,1,5,1,0,27,0
456,1,34.58,0.0,1,0,1,7,0.0,0,0,0,0,1,0,0
104,1,27.83,4.0,2,2,6,3,5.75,1,1,2,1,0,156,0
269,1,18.0,0.165,1,0,10,5,0.21,0,0,0,0,0,40,40
599,1,20.5,2.415,1,0,1,7,2.0,1,1,11,1,0,40,3000
307,1,18.58,10.29,1,0,5,2,0.415,0,0,0,0,0,159,0
578,1,39.17,1.625,1,0,1,7,1.5,1,1,10,0,0,36,4700
505,1,31.33,19.5,1,0,1,7,7.0,1,1,16,0,0,0,5000
85,1,37.17,4.0,1,0,1,0,5.0,1,0,0,1,2,74,0
51,1,26.0,1.0,1,0,10,7,1.75,1,0,0,1,0,74,0
674,0,37.33,2.5,1,0,6,3,0.21,0,0,0,0,0,67,246
596,0,46.08,3.0,1,0,1,7,2.375,1,1,8,1,0,108,4159
98,0,22.5,11.0,2,2,10,7,3.0,1,0,0,1,0,69,0
614,0,38.33,4.415,1,0,1,7,0.125,0,0,0,0,0,23,0
488,1,18.83,3.54,2,2,5,2,0.0,0,0,0,1,0,34,1
258,0,20.75,9.54,1,0,6,7,0.04,0,0,0,0,0,40,1000
623,1,18.83,0.0,1,0,10,7,0.665,0,0,0,0,0,23,1
266,1,18.33,1.21,2,2,4,1,0.0,0,0,0,0,0,1,0
675,0,41.58,1.04,1,0,0,7,0.665,0,0,0,0,0,61,237
517,1,16.08,0.75,1,0,1,7,1.75,1,1,5,1,0,94,690
3,1,27.83,1.54,1,0,12,7,3.75,1,1,5,1,0,1,3
300,0,57.58,2.0,1,0,5,2,6.5,0,1,1,0,0,0,10
263,0,20.42,10.5,2,2,13,3,0.0,0,0,0,1,0,21,32
629,0,19.58,0.665,1,0,12,7,1.665,0,0,0,0,0,51,5
508,0,30.67,12.0,1,0,1,7,2.0,1,1,1,0,0,51,19
122,0,24.75,12.5,1,0,0,7,1.5,1,1,12,1,0,8,567
449,1,20.0,7.0,1,0,1,7,0.5,0,0,0,0,0,0,0
160,1,27.67,2.0,1,0,13,3,1.0,1,1,4,0,0,15,7544
125,1,34.92,5.0,1,0,13,3,7.5,1,1,6,1,0,0,1000
331,0,33.25,2.5,2,2,1,7,2.5,0,0,0,1,0,0,2
233,1,27.67,13.75,1,0,12,7,5.75,1,0,0,1,0,132,500
315,1,23.0,0.75,1,0,9,7,0.5,1,0,0,1,2,86,0
210,1,39.33,5.875,1,0,2,3,10.0,1,1,14,1,0,109,0
556,1,29.58,4.5,1,0,12,7,7.5,1,1,2,1,0,88,0
649,0,35.17,3.75,1,0,5,2,0.0,0,1,6,0,0,0,200
582,1,48.5,4.25,1,0,9,7,0.125,1,0,0,1,0,54,0
182,0,20.67,3.0,1,0,10,7,0.165,1,1,3,0,0,1,6
510,1,13.75,4.0,2,2,12,7,1.75,1,1,2,1,0,8,1000
253,1,23.17,11.125,1,0,13,3,0.46,1,1,1,0,0,1,0
132,0,47.42,8.0,1,0,4,0,6.5,1,1,6,0,0,102,51100
